HUNDERASSE,RASSETYP
"Sennenhund","I"
"Shar Pei","I"
"Sheltie","K"
"Shetland Sheepdog","K"
"Shiba Inu","K"
"Shih Tzu","K"
"Sibirischer Husky","I"
"Silky Terrier","K"
"Skye Terrier","K"
"Sloughi","I"
"Soft Coated Wheaten Terrier","I"
"Spaniel","K"
"Spanischer Wasserhund","I"
"Spanischer Windhund","I"
"Spinone","I"
"Spitz","K"
"English Staffordshire Terrier","II"
"Staffordshire Bullterrier","II"
"Teckel","K"
"Terrier","K"
"Tervueren","I"
"Thai Ridgeback","I"
"Tibet Terrier","K"
"Toy Pudel","K"
"Toypudel","K"
"Toyterrier","K"
"Trüffelhund","I"
"Tschechoslowakischer Wolfshund","I"
"Västgötaspets (Westgotenspitz)","K"
"Vizsla","I"
"Volpino Italiano","K"
"Vorstehhund","I"
"Wasserhund","I"
"Weimaraner","I"
"Welsh Corgi","K"
"Welsh Corgi Cardigan","K"
"Welsh Corgi Pembroke","K"
"Welsh Springer Spaniel","I"
"Welsh Terrier","K"
"West Highland White Terrier","K"
"Westgotenspitz","K"
"Whippet","I"
"Windhund","I"
"Windspiel","I"
"Wolfspitz","K"
"Yorkshire Terrier","K"
"Zwergdachshund","K"
"Zwergdackel","K"
"Zwergpinscher","K"
"Zwergpudel","K"
"Zwergrauhaardackel","K"
"Zwergschnauzer","K"
"Zwergspitz","K"
"Danish-Swedish Farmdog","K"
"Red Heeler","I"
"Mittelspitz","K"
"Tibetan Spaniel","K"
"Setter","I"
"Toller","I"
"Chinese Crested Hairless Dog","K"
"Afghanischer Windhund","I"
"English Toy Terrier","K"
"Daisy-Dog","K"
"Miniature Bull Terrier","K"
"Kaninchen-Dachshund","K"
"Pumi","I"
"Labradoodle","I"
"Alpenländische Dachsbracke","K"
"Wäller","I"
"Labrador Bless","I"
"Canaan Dog","I"
"Bardino","I"
"Mudi","K"
"Australian working Kelpie","I"
"Do-Khyi","I"
"Deutsch Drahthaar","I"
"Old Englische Bulldogge","I"
"Perro de Agua Espanol","I"
"German Shepard","I"
"Weisser Schäferhund (Berger Blanc Suisse)","I"
"Chinese Crested","K"
"Perro Dogo Mallorquin","I"
"Ratenero Bodeguero","K"
"Biewer Yorkshire Terrier","K"
"Chinese Foo Dog","K"
"Affenpinscher","K"
"Tiroler Bracke","I"
"Chodsky pes","I"
"Broholmer","I"
"Mischling gross","I"
"Harzer Fuchs","I"
"Dogo Canario","I"
"Tamaskan","I"
"Irish Water Spaniel","I"
"Kleiner Münsterländer","I"
"Norwegischer Lundehund","K"
"Goldendoodle","I"
"Deutscher Grossspitz","I"
"Mexikanischer Nackthund","K"
"Westfalenterrier","K"
"Miniature Australian Shepherd","I"
"Stabijhoun","I"
"Islandhund","K"
"Finnischer Lapphund","I"
"Slovensky Cuvac","I"
"American Akita","I"
"Norwegischer Buhund","I"
"Australien Kelpie","I"
"Grossspitz","I"
"Shikoku","I"
"Lemon Walker Hound","I"
"English Pointer","I"
"Griffon bruxellois","K"
"Allauntbull","I"
"American Foxhound","I"
"Anglo-Francais de petit Venerie","I"
"Australischer Treibhund","I"
"American Water Spaniel","I"
"Labrador","I"
"Ariégeois","I"
"Beagle-Harrier","I"
"Australian Stumpy Tail Cattle Dog","I"
"Podenco Canario","I"
"Berger de Picardie","I"
"Epagneul bleu de Picardie","I"
"Briard (Berger de Brie)","I"
"Bouvier des Flandres","I"
"Bouvier es Ardennes","I"
"Cesky Fousek","I"
"Brandlbracke","I"
"Braque d'Auvergne","I"
"Braque de l'Ariège","I"
"Braque du Bourbonnais","I"
"Braque français (type Gascogne)","I"
"Canadian Eskimo Dog","I"
"Braque Saint-Germain","I"
"Brasilianischer Terrier","K"
"Braquet Griffon Vendéen","I"
"Hamiltonstövare","I"
"Taiwanhund","I"
"Siberian Husky","I"
"Cao de Água Português","I"
"Chien d'Artois","K"
"Tschechischer Terrier","K"
"Ciobanesc Romanesc Carpatin","I"
"Clumber Spaniel","I"
"Bracke","I"
"St. Bernhardshund - Bernhardiner","I"
"Deutsche Bracke","I"
"Dandie Dinmont Terrier","K"
"Perro Sin Pelo Del Perú klein","K"
"Deutsch Stichelhaar","I"
"Deutscher Schäferhund","I"
"Epagneul nain continental","K"
"Grand Griffon Vendeen","I"
"Griffon bleu de Gascogne","I"
"Griffon Fauve de Bretagne","I"
"Griffon Nivernais","I"
"Griffon belge","K"
"Grand Basset Griffon Vendeen","I"
"Harrier","I"
"Hokkaido","I"
"Hollandse Smoushond","K"
"Kroatischer Schäferhund","I"
"Irish Glen of Imaal Terrier","K"
"Irischer rot-weiser Setter","I"
"Kai (Asiatischer Spitz)","K"
"Pharaonenhund","I"
"Grosser Schweizer Sennenhund","I"
"Drentse Patrijshond (Drentscher Hühnerhund)","I"
"Cimarron Uruguayo","I"
"Russischer Toy","K"
"Portugiesicher Vorstehhund","I"
"Polnische Bracke","I"
"Transylvanischer Laufhund","I"
"Schwedischer Vallhund","K"
"Boerboel","I"
"Kishu","I"
"Petit Brabançon","K"
"Ciobanesc Romanesc Mioritic ","I"
"Oesterreichischer Pinscher","I"
"Istrianer Bracke","I"
"Podengo Portugues ","I"
"Aidi (Atlas Berghund)","I"
"Bergamasco Shepherd Dog","I"
"Billy","I"
"Ca de Bestiar (Spanischer Schäferhund)","I"
"Basset bleu de Gascogne","K"
"Pudelpointer","I"
"Jura Niederlaufhund","K"
"Kurzhaar Collie","I"
"Grand Bleu de Gascogne","I"
"English Foxhound","I"
"Akita","I"
"Amerikanischer Akita","I"
"Berner Niederlaufhund","K"
"Schwyzer Niederlaufhund","K"
"Berner Laufhund","I"
"Schwyzer Laufhund","I"
"Podengo Portugues mittel","I"
"Kleinspitz","K"
"Korea Jindo Dog","I"
"Xoloitzcuintle ","K"
"Miniature American Shepard","K"
